year,Renewable_consumption
2021-01-01,203.32450675687005
2022-01-01,203.31701125824966
2023-01-01,203.31117166722754
2024-01-01,203.30662216024572
2025-01-01,203.3030777315864
2026-01-01,203.3003163390726
