sno,year,Renewable_consumption
121,2021-01-01,272.6329660733818
122,2022-01-01,267.95124812605087
123,2023-01-01,263.738292039278
124,2024-01-01,259.9471625460553
125,2025-01-01,256.53562382161715
126,2026-01-01,253.46566894691634
